,beer_name,rating,review,Filtered review,sim_score
72,Flora,4.5,"

Batch 6 --- poured into a HF Tulip
Golden yellow, mostly clear, with a frothy white foam, which after it settles to a thin rim around the edges looks like it could be a miller lite.....
Nose of funky brett, apricot, and cat-wee...
Taste is tart apples, dried apricots, lemon, and funky-goodness...
Love this beer, have had it several times, missing the in-your-face concentration of Le Sarrasin, but not that far behind!

 "," Batch 6 -- - poured HF Tulip Golden yellow , mostly clear , frothy white foam , settles thin rim around edges looks like could miller lite ... .. Nose funky brett , apricot , cat-wee ... Taste tart apples , dried apricots , lemon , funky-goodness ... Love beer , several times , missing in-your-face concentration Le Sarrasin , far behind !",0.8464121163755282
73,Bourbon Barrel Oro Negro,4.65,"

I finally got to try Bourbon Barrel Aged Oro Negro and it was great. It lived up to the hype. It is brewed with Walnuts, conditioned on spices and Aged in Bourbon Barrels. What an explosion of flavors. It is a wonderful stout.

Look: Black with a thin mocca colored head

Aroma: roasted malts, chocolate, nuts, bourbon.

Taste: Roasted malts, walnuts, a little bit of chili peppers, chocolate, some coffee, and very distinct nice bourbon.

Body/Overall: full body, creamy, silky, smooth

 "," finally got try Bourbon Barrel Aged Oro Negro great . lived hype . brewed Walnuts , conditioned spices Aged Bourbon Barrels . explosion flavors . wonderful stout . Look : Black thin mocca colored head Aroma : roasted malts , chocolate , nuts , bourbon . Taste : Roasted malts , walnuts , little bit chili peppers , chocolate , coffee , distinct nice bourbon . Body/Overall : full body , creamy , silky , smooth",0.8463866933162646
74,Crusher,4.15,"

CAN
Hazy dirty blonde; orange peel, dank, ganga, + hard candy; slight oyster cracker then ringing orange, slight resin, then jagged little bits of pith, some sparkly citrus candy, IBUs + some burn; greasy.

4 4 4.25 4 4.25

Weirdly not a NEIPA - I forget that Alchemist does that. Very West Coast hopping. Brightens as it goes, but suffers after drinking a bunch of Other Half in the same session. Damn hoppy, if nothing else. Might need to revisit.

 "," Hazy dirty blonde ; orange peel , dank , ganga , + hard candy ; slight oyster cracker ringing orange , slight resin , jagged little bits pith , sparkly citrus candy , IBUs + burn ; greasy . 4 4 4.25 4 4.25 Weirdly NEIPA - forget Alchemist . West Coast hopping . Brightens goes , suffers drinking bunch Half session . Damn hoppy , nothing else . Might need revisit .",0.846268379828244
75,Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,4.75,"

The beer pours a hazy yellow with a thin white head. It has medium high carbonation. The beer smells of lemon, apples, funk, and a little floral. It is lightly tart, with lemon, pineapple, earthy funk, and floral. The feel is medium. A great Saison from Sante Adairus.

 "," beer pours hazy yellow thin white head . medium high carbonation . beer smells lemon , apples , funk , little floral . lightly tart , lemon , pineapple , earthy funk , floral . feel medium . great Saison Sante Adairus .",0.8462070847341644
76,Bourbon Barrel Aged Dark Star: Coffee Edition,4.49,"

L - 1-finger dark mocha head takes several minutes to recede, leaving behind a pitch black body.

S - coffee first, then bourbon, chocolate, vanilla.

T - lots of coffee, chocolate, vanilla, and barrel, all in perfect balance. Booze is present but restrained. Secondary flavors of oak, figs, anise, smoke, caramel, and tobacco. Low bitterness. Low sweetness. Moderate-low booziness.

F - medium-full body with average carb.

O - a wonderfully-balanced brew, especially for the abv.

 "," L - 1-finger dark mocha head takes several minutes recede , leaving behind pitch black body . - coffee first , bourbon , chocolate , vanilla . - lots coffee , chocolate , vanilla , barrel , perfect balance . Booze present restrained . Secondary flavors oak , figs , anise , smoke , caramel , tobacco . Low bitterness . Low sweetness . Moderate-low booziness . F - medium-full body average carb . - wonderfully-balanced brew , especially abv .",0.8461112966186849
77,Jackie O's / Side Project - Appervation,4.12,"

Thanks to a local for swapping fluids with me & knocking a long, long time want off my list. 375ML classic Jackie O’s bottle while watching Merle die & celebrating another Twins win.

Inky black with no rise even given a hard pour. The nose is barrel & a sweetness that leans hard into molasses & chocolate. The unholy trinity.

Appervation could be presented as a Black Tuesday variation & I wouldn’t bat an eye. The mouthfeel is decadent AF, as the kids say, thicker than grandma’s fudge batter & almost as appealing. Bourbon booms out of the glass, along with most of the malts harvested in 2017. Sweet, dripping sweet, oak, maple, fudge, black silk, black licorice. No booziness present except when I stood up to go relieve myself. Bed is two flights of stairs away.

Not quite sure what the hype was about. Jackie O’s makes better BA stouts, but I understand that having Derivation in, or rumored to be in, its DNA brings out the hype beast. Still an excellent BA stout.

 "," Thanks local swapping fluids & knocking long , long time want list . 375ML classic Jackie ’ bottle watching Merle die & celebrating another Twins win . Inky black rise even given hard pour . nose barrel & sweetness leans hard molasses & chocolate . unholy trinity . Appervation could presented Black Tuesday variation & ’ bat eye . mouthfeel decadent AF , kids say , thicker grandma ’ fudge batter & almost appealing . Bourbon booms glass , along malts harvested 2017 . Sweet , dripping sweet , oak , maple , fudge , black silk , black licorice . booziness present except stood go relieve . Bed two flights stairs away . quite sure hype . Jackie ’ makes better BA stouts , understand Derivation , rumored , DNA brings hype beast . Still excellent BA stout .",0.846006468337291
78,Saison Bernice,4.43,"

A: Yellowish/Orange....very clear and a small white head that dissipates quick.
S: Apples, white grape, wheat, funk....smells amazing.
T: Same as the nose...apples, tart white grape a little funk. Beautiful
F: Crisp, dry and refreshing; moderate carbonation
O: This is an outstanding saison. Very well done. Just a beautifully delicate beer.

 "," : Yellowish/Orange ... .very clear small white head dissipates quick . : Apples , white grape , wheat , funk ... .smells amazing . : nose ... apples , tart white grape little funk . Beautiful F : Crisp , dry refreshing ; moderate carbonation : outstanding saison . well done . beautifully delicate beer .",0.8457891702418674
79,Triple Sunshine,4.16,"

Consumed 3/19/19

A: Deep golden orange, some notes of copper at the core - surprisingly clear - pours with a small, off-white head, fades to a wispy cap, retains a small collar, leaves some spots of lacing

S: Something like a fruity mixed drink - bright citrus, with some orange and grapefruit juice, and some some syrupy citrus, like orange marmalade - floral citrus - herbal notes, with some leafy hops and some pine resin - lots of fruit, fruit cocktail - pineapple, mango (including the weird aspect of mango that my brain finds vaguely cheesy), peach, apricot -
rich malt base, with some pale grains, caramel malt, and booze (hard to hide at 10+ABV)

T: Also drinks like a fruity, boozy mixed drink - orange and grapefruit juice, candied citrus, marmalade, with some floral citrus notes - herbal and leafy hops, pine, slightly woodsy flavors - tropical fruit soaking in syrup, particularly pineapple - definitely some mango, maybe some passion fruit - some stone fruit as well - big malty notes to apparently balance the hops, with pale malts, caramel malts, and some honey-like sweetness - booze is obvious but it works with everything else

M: Fairly full body, low carbonation, smooth in a malty way, but some lingering booze

O: Spoiler alert - Quadruple Sunshine is just a pineapple filled with vodka

In the past I have waited in line for a release of Sip of Sunshine. And Double Sunshine is a great, well-rounded DIPA. Triple Sunshine is very strange, particularly in 2019. The ""triple IPA"" concept that was gaining some steam about 10 years ago never really caught on for a reason; these are hard to drink. Triple Sunshine at times tastes like a mixed drink with a lot of citrus and tropical fruit. It's weird, but for what it is, it is a tasty sipper.

 "," Consumed 3/19/19 : Deep golden orange , notes copper core - surprisingly clear - pours small , off-white head , fades wispy cap , retains small collar , leaves spots lacing : Something like fruity mixed drink - bright citrus , orange grapefruit juice , syrupy citrus , like orange marmalade - floral citrus - herbal notes , leafy hops pine resin - lots fruit , fruit cocktail - pineapple , mango ( including weird aspect mango brain finds vaguely cheesy ) , peach , apricot - rich malt base , pale grains , caramel malt , booze ( hard hide 10+ABV ) : Also drinks like fruity , boozy mixed drink - orange grapefruit juice , candied citrus , marmalade , floral citrus notes - herbal leafy hops , pine , slightly woodsy flavors - tropical fruit soaking syrup , particularly pineapple - definitely mango , maybe passion fruit - stone fruit well - big malty notes apparently balance hops , pale malts , caramel malts , honey-like sweetness - booze obvious works everything else : Fairly full body , low carbonation , smooth malty way , lingering booze : Spoiler alert - Quadruple Sunshine pineapple filled vodka past waited line release Sip Sunshine . Double Sunshine great , well-rounded DIPA . Triple Sunshine strange , particularly 2019 . `` triple IPA '' concept gaining steam 10 years ago never really caught reason ; hard drink . Triple Sunshine times tastes like mixed drink lot citrus tropical fruit . 's weird , , tasty sipper .",0.8454513530776735
80,Saison Bernice,4.39,"

As a New Englander who has been to Vermont several times...I can't help but make the comparison (which I feel is apt) to Hill Farmstead's lovely array of farmhouse ales.

Simultaneously simple yet complex - Bernice comes through across all four sensory components with high marks. She pours slightly cloudy, yellow liquid that sits beneath a cap of white foam. Light, but lively, effervescence brings the beer to life.

Aroma is citrus, hay and light funk. Balanced harmony with each playing to the others' strengths. Restrained but remarkable. Taste is citrus - apricot, lemon and grapes - followed by a tart and funky kiss. Fruity and earthy yeast-notes throughout.

Tart, refreshing, appropriately acidic and lightly funky. Delicious.

 "," New Englander Vermont several times ... ca n't help make comparison ( feel apt ) Hill Farmstead 's lovely array farmhouse ales . Simultaneously simple yet complex - Bernice comes across four sensory components high marks . pours slightly cloudy , yellow liquid sits beneath cap white foam . Light , lively , effervescence brings beer life . Aroma citrus , hay light funk . Balanced harmony playing others ' strengths . Restrained remarkable . Taste citrus - apricot , lemon grapes - followed tart funky kiss . Fruity earthy yeast-notes throughout . Tart , refreshing , appropriately acidic lightly funky . Delicious .",0.8453597346145797
81,Mocha Wednesday,4.59,"

Appearance - The beer was a deep murky brown color.

Smell - The nose was light chocolate, but there was also a coffee presence.

Taste - This is a sweet one. At the front, I notice sweet coffee first. Then, sweet bourbon accompanies raisins, figs, and burnt malts. Surprisingly, the beer was not to warm. Not overly cloying, the sweetness continues in the aftertaste.

Mouthfeel - The sweetness lends itself to a sticky sensation. It is not as thick as the other days.

Overall - This might be my favorite day, notwithstanding Chocolate Rain.

 "," Appearance - beer deep murky brown color . Smell - nose light chocolate , also coffee presence . Taste - sweet one . front , notice sweet coffee first . , sweet bourbon accompanies raisins , figs , burnt malts . Surprisingly , beer warm . overly cloying , sweetness continues aftertaste . Mouthfeel - sweetness lends sticky sensation . thick days . Overall - might favorite day , notwithstanding Chocolate Rain .",0.8453402598472748
82,Melcher Street (Double Dry-Hopped),4.28,"

16 oz. can dated 4/4/18, purchased from brewery. Poured into Belgian ale glass.

L: Hazy golden-orange. Nice 3F fluffy head upon pour, good retention, leaves soapy lacing and a cap and ring.

S: Lots of orange-related citrus - I'd like to go with tangelo, please - and some earthy dankness with a hint of ripe tropical fruit.

T: Nose more or less predicts the taste. Very orange-y with maybe some...melon? thrown in. Dank, earthy, very slightly bitter finish.

F: Medium bodied, quite so for an IPA, light carbonation, construction and balance are strong and drying is good.

O: A pretty heavyweight offering. I think you guys like it a little better than I do.

 "," 16 oz . dated 4/4/18 , purchased brewery . Poured Belgian ale glass . L : Hazy golden-orange . Nice 3F fluffy head upon pour , good retention , leaves soapy lacing cap ring . : Lots orange-related citrus - 'd like go tangelo , please - earthy dankness hint ripe tropical fruit . : Nose less predicts taste . orange-y maybe ... melon ? thrown . Dank , earthy , slightly bitter finish . F : Medium bodied , quite IPA , light carbonation , construction balance strong drying good . : pretty heavyweight offering . think guys like little better .",0.8452450708600772
83,Supplication,4.46,"

Presentation: 375mL brown bottle with the bottling date printed on the label. Served in a goblet.

Appearance: The thick, rocky, three finger head goes down slowly and leaves behind a lot of patchy lacing. It's a hazy, bright, reddish copper color.

Smell: It's a beautiful fruity and funky smell with notes of cherries, grapes, plums, raisins and wood.

Taste: It's a mildly sour, acidic and dark flavor. At first there's cherries, dried plums, and grapes. That's followed up by an earthy, humid wood note and a distinct herbal aftertaste with a touch of wine-y alcohol.

Mouthfeel: It's soft and smooth but quite crisp with medium-high carbonation. It's not cloying despite the sweetness.

Overall: A rich, fruity and complex beer with a lot of layers that feels boozier than the 7.5% ABV would suggest.

 "," Presentation : 375mL brown bottle bottling date printed label . Served goblet . Appearance : thick , rocky , three finger head goes slowly leaves behind lot patchy lacing . 's hazy , bright , reddish copper color . Smell : 's beautiful fruity funky smell notes cherries , grapes , plums , raisins wood . Taste : 's mildly sour , acidic dark flavor . first 's cherries , dried plums , grapes . 's followed earthy , humid wood note distinct herbal aftertaste touch wine-y alcohol . Mouthfeel : 's soft smooth quite crisp medium-high carbonation . 's cloying despite sweetness . Overall : rich , fruity complex beer lot layers feels boozier 7.5 % ABV would suggest .",0.8452426917886687
84,Double Sunshine,4.41,"

(16 oz can, canned on 05/20/19, purchased in cold 4-pack... poured into a fat tulip)

L: crystal-clear, pale amber-gold liquid; tall stand of loose, frothy-spongy, off-white foam... foam collapses fast, but maintains chunky/rocky collar

S: pineapple (juice/syrup) all day, maybe some subtle background floral and pine/menthol(?) notes, maybe coconut (rum) too; faint essence of ethanol... great potency to start, settles into soft fragrance

T: orange soda, crushed lemon rind, pineapple juice; delicate (almost phenolic) spicy aftertaste; rather dry... mellow, long-lasting citrus-pithy bitterness, perhaps a twinkle of candied ginger... little naked malt presence, perhaps a vague (pea)nutty, toasted caramel character in the background... the orange element becomes slightly more grapefruit as it goes

F: light, tight body wrapped in a sleek furry hop coat; certain level flow (lack of 'roundness'); soft, prickly warmth lingers... lovely weightlessness

O: flavor-wise, restrained boldness... I do love a pineapple hop flavor... its strengths are in its hop density, light weight, quiet heat... rather demanding of a repeat buy

 "," ( 16 oz , canned 05/20/19 , purchased cold 4-pack ... poured fat tulip ) L : crystal-clear , pale amber-gold liquid ; tall stand loose , frothy-spongy , off-white foam ... foam collapses fast , maintains chunky/rocky collar : pineapple ( juice/syrup ) day , maybe subtle background floral pine/menthol ( ? ) notes , maybe coconut ( rum ) ; faint essence ethanol ... great potency start , settles soft fragrance : orange soda , crushed lemon rind , pineapple juice ; delicate ( almost phenolic ) spicy aftertaste ; rather dry ... mellow , long-lasting citrus-pithy bitterness , perhaps twinkle candied ginger ... little naked malt presence , perhaps vague ( pea ) nutty , toasted caramel character background ... orange element becomes slightly grapefruit goes F : light , tight body wrapped sleek furry hop coat ; certain level flow ( lack 'roundness ' ) ; soft , prickly warmth lingers ... lovely weightlessness : flavor-wise , restrained boldness ... love pineapple hop flavor ... strengths hop density , light weight , quiet heat ... rather demanding repeat buy",0.8452213276790984
85,Kaggen! Stormaktsporter,4.85,"

Shared by ygtbsm94. Thanks a lot, Brad! Served alongside Stormaktsporter.

2009 vintage

The beer appears quite similar to the standard version. Dark brown, nearing black, with a dark beige head that leaves an oily film gently descending the snifter.

A distinctly European aroma. It seems to me that Närke, Nøgne Ø, Mikkeller, etc. possess distinctive characteristics not found in American stouts. Hooray for diversity and the unique aspects found in beers throughout the world. Anyhow...the beer smells terrific. Roast, chocolate, barrels, a touch of booze.

The flavor does not disappoint. Thick, chewy, viscous stout that coats the palate and melts in your mouth. The barrel character is outstanding. Present, but not overbearing. Beautifully balanced. Dark fruits, chocolate, roast, malt, barrels blending together in harmony.

Highly recommended, should you have the good fortune to sample this.

 "," Shared ygtbsm94 . Thanks lot , Brad ! Served alongside Stormaktsporter . 2009 vintage beer appears quite similar standard version . Dark brown , nearing black , dark beige head leaves oily film gently descending snifter . distinctly European aroma . seems Närke , Nøgne Ø , Mikkeller , etc . possess distinctive characteristics found American stouts . Hooray diversity unique aspects found beers throughout world . Anyhow ... beer smells terrific . Roast , chocolate , barrels , touch booze . flavor disappoint . Thick , chewy , viscous stout coats palate melts mouth . barrel character outstanding . Present , overbearing . Beautifully balanced . Dark fruits , chocolate , roast , malt , barrels blending together harmony . Highly recommended , good fortune sample .",0.8451561646368567
86,Double Dry Hopped Congress Street,4.59,"

A: Hazy gold/orange with rich white head and great lacing.
N: Loads of citrus, hops, floral, and malt.
T: Lots of pineapple with some mango, great hops notes, minor malt and soft sweetness.
M: Smooth and easy to drink, zero bite and flavors are really nice.
O: Loved this beer, was one of my favorite from them.

 "," : Hazy gold/orange rich white head great lacing . N : Loads citrus , hops , floral , malt . : Lots pineapple mango , great hops notes , minor malt soft sweetness . : Smooth easy drink , zero bite flavors really nice . : Loved beer , one favorite .",0.8450934518203581
87,Stickee Monkee,4.43,"

Very dark brown, headless but does have a ring around the edge. Nice aroma: molasses, alcohol, charred oak, vanilla & caramel. Plenty of sweetness here. Flavor: add brown sugar to the barrel flavors, caramel & a little grain with just a hint of bitter at the finish. Feel is silky smooth, medium thick with some alcohol burn. Delicious!

 "," dark brown , headless ring around edge . Nice aroma : molasses , alcohol , charred oak , vanilla & caramel . Plenty sweetness . Flavor : add brown sugar barrel flavors , caramel & little grain hint bitter finish . Feel silky smooth , medium thick alcohol burn . Delicious !",0.8449672444045433
88,Lou Pepe - Kriek,3.97,"

Carnivale Brettanomyces 2019. Small size sample from bottle in de Bierkoning, Amsterdam, poured by the man himself: Jean Van Roy. 2014 label, bottles 2016. Pours a lovely deep red/purple-ish colour, slightly hazy, and a dense pink head with good retention. Aroma's of cherries and almonds/fruitstones, sour & sweetish. No sweetness retronasal. Flavour is sour, with light dry bitterness. Light bodied. Long finish, tart and dry.

 "," Carnivale Brettanomyces 2019 . Small size sample bottle de Bierkoning , Amsterdam , poured man : Jean Van Roy . 2014 label , bottles 2016 . Pours lovely deep red/purple-ish colour , slightly hazy , dense pink head good retention . Aroma 's cherries almonds/fruitstones , sour & sweetish . sweetness retronasal . Flavour sour , light dry bitterness . Light bodied . Long finish , tart dry .",0.844932017383164
89,Sosus,4.14,"

Pours orange that nears on opaque in terms of transparency. Head is just north of two fingers of foam in the color white. Head retention is good. Aroma is pineapple, mango and melon dew all right on the front end. As these heavy tropical fruits fade, mango, orange, and lemongrass come on with hints of bready, toasty malts behind it all. Pineapple is the big player here. Flavor profile is mango, tangerine, melon dew, orange, and herbal/sticky hops with pineapple coming on big at the end. Tropical fruits start and finish it, with the middle focusing more on orange juice and bready, earthy malts. It definitely has a fruit smoothie sort of taste. Mouth feel has a touch of grain at the onset and then fades away quickly to produce a semi-textured and chalky, soft feel. It has a medium-thick consistency. Overall, big pineapple, this NE IPA covers up its 8% ABV extremely well. That said, it's sweet enough that consumption is limited to sips, but not sweet enough that it becomes cloying or burdening.

Served in a 15.5oz Speigalau tulip from a 16oz can.

 "," Pours orange nears opaque terms transparency . Head north two fingers foam color white . Head retention good . Aroma pineapple , mango melon dew right front end . heavy tropical fruits fade , mango , orange , lemongrass come hints bready , toasty malts behind . Pineapple big player . Flavor profile mango , tangerine , melon dew , orange , herbal/sticky hops pineapple coming big end . Tropical fruits start finish , middle focusing orange juice bready , earthy malts . definitely fruit smoothie sort taste . Mouth feel touch grain onset fades away quickly produce semi-textured chalky , soft feel . medium-thick consistency . Overall , big pineapple , NE IPA covers 8 % ABV extremely well . said , 's sweet enough consumption limited sips , sweet enough becomes cloying burdening . Served 15.5oz Speigalau tulip 16oz .",0.8448555832808111
90,Aurelian Lure,4.31,"

A: Cloudy, dark yellow with no head
S: Sweet apricot, peach, funk, nectarine, tart, lemon, vinous
T: Balanced tartness, sweet apricot, peach, lightly lactic, hint of funk, lemon, oak tannin
M: Delicate carbonation but not up to the fantastic level that I love from JK. Dry
O: Apricot seems like a fruit that blends very well with the wild ale base. Great balance as always from Jester King.

 "," : Cloudy , dark yellow head : Sweet apricot , peach , funk , nectarine , tart , lemon , vinous : Balanced tartness , sweet apricot , peach , lightly lactic , hint funk , lemon , oak tannin : Delicate carbonation fantastic level love JK . Dry : Apricot seems like fruit blends well wild ale base . Great balance always Jester King .",0.8448438830452711
91,Imperial Eclipse Stout - Elijah Craig (12 Year),4.83,"

Enjoyed a 2013 last night with my old man.

Everything about this beer just defined the word smooth, from the pour itself through to the finish. Nothing jumped out about any particular flavors, just tremendous balance throughout. The 3+ years of age (plus 12 year-old Elijah) have done this brew wonders, as the barrel has been tamed down to a wonderful subtleness. It shows itself just enough so you know you're drinking something barrel-aged, but that's all - something not often said about a big stout, such as this. In fact, considering the rather muted barrel and lighter, smoother viscosity, I could have probably drunk the entire bottle, which I normally can never do with any bomber. Curious how this tastes ""fresh,"" but with the $30 price point, that's likely to only happen with trade.

Cheers!

 "," Enjoyed 2013 last night old man . Everything beer defined word smooth , pour finish . Nothing jumped particular flavors , tremendous balance throughout . 3+ years age ( plus 12 year-old Elijah ) done brew wonders , barrel tamed wonderful subtleness . shows enough know 're drinking something barrel-aged , 's - something often said big stout , . fact , considering rather muted barrel lighter , smoother viscosity , could probably drunk entire bottle , normally never bomber . Curious tastes `` fresh , '' $ 30 price point , 's likely happen trade . Cheers !",0.8445920720372464
92,Crusher,3.97,"

**
12/11/18

Can to Wine glass.

LOOK: Hazy yellow, with a big healthy white head. excellent retention. large bubbles and foam stick around through out.
AROMA: Metallic hoppy, pine, light citrus.
TASTE: more of the citrus and metallic flavors, but the pine takes off here and dominates. Nice at first, but gets sappy midway through.
FEEL: super creamy. there is a thickness to it, but it is very drinkable and ""crusher-able"".

Pretty good. I liked this better than focal banger or heady topper. It still has a sappiness that becomes unpleasant as you go.

**

 "," ** 12/11/18 Wine glass . LOOK : Hazy yellow , big healthy white head . excellent retention . large bubbles foam stick around . AROMA : Metallic hoppy , pine , light citrus . TASTE : citrus metallic flavors , pine takes dominates . Nice first , gets sappy midway . FEEL : super creamy . thickness , drinkable `` crusher-able '' . Pretty good . liked better focal banger heady topper . still sappiness becomes unpleasant go . **",0.8445246384400904
93,Morning Wood,4.21,"

3000th Review!

A - Pours sludgy black and opaque. Small bubbles on a mocha head of one finger. Minimal head retention but good boozy, spotty lace.

S - Baileys, Kahlua, maple, chocolate, licorice, wood, sweet milky chocolate.

T - Sweet, less depth than aroma. More Baileys, chocolate bars, iced coffee, Starbucks cold drinks.

M - Gentle carbonation, thick and full bodied. A bit cloying to finish with tons of maple.

O/D - Pretty delicious but a bit too far on the sweet side to drink alot of. Barrel isn't obvious but does a good job to round out the flavours and integrate the sweetness and booziness that is surprisingly well hidden. Flavours come as advertised. Deep and decadent.

 "," 3000th Review ! - Pours sludgy black opaque . Small bubbles mocha head one finger . Minimal head retention good boozy , spotty lace . - Baileys , Kahlua , maple , chocolate , licorice , wood , sweet milky chocolate . - Sweet , less depth aroma . Baileys , chocolate bars , iced coffee , Starbucks cold drinks . - Gentle carbonation , thick full bodied . bit cloying finish tons maple . O/D - Pretty delicious bit far sweet side drink alot . Barrel n't obvious good job round flavours integrate sweetness booziness surprisingly well hidden . Flavours come advertised . Deep decadent .",0.8445091429043956
94,Swish,4.33,"

02/2015 - I get why this is hyped - it's quite good; but it isn't my favorite Bissell. There's a lot of onion, fruity hops, piney aromas; sweet, tangy, well hopped flavors with some caramel too; a touch bitter, earthy finish, with some melon hanging around back.

 "," 02/2015 - get hyped - 's quite good ; n't favorite Bissell . 's lot onion , fruity hops , piney aromas ; sweet , tangy , well hopped flavors caramel ; touch bitter , earthy finish , melon hanging around back .",0.8445059709054682
95,Speedway Stout - Bourbon Barrel-Aged,4.46,"

08/2014 - This shit is crack; impressive bourbon, caramel, cocoa, malts too up front; sweet, flavorful, bourbon, coffee, lactose, vanilla on the palate; solid mouthfeel that lingers.

 "," 08/2014 - shit crack ; impressive bourbon , caramel , cocoa , malts front ; sweet , flavorful , bourbon , coffee , lactose , vanilla palate ; solid mouthfeel lingers .",0.844468551240601
96,§ucaba,4.5,"

L: deep dark brown under a 1"" white cap with fair to poor retention

S: big alcohol smell, bourbon, coconut, dark sugars, caramel, dark dried fruit, and rich malts

T: dark dried fruit, molasses, brown sugar, traces of coconut, and a balancing bitter on the finish

F: creamy smooth and full bodied with medium minus carbonation

O: a beer to savor

 "," L : deep dark brown 1 '' white cap fair poor retention : big alcohol smell , bourbon , coconut , dark sugars , caramel , dark dried fruit , rich malts : dark dried fruit , molasses , brown sugar , traces coconut , balancing bitter finish F : creamy smooth full bodied medium minus carbonation : beer savor",0.8443895260991985
97,Ann,4.84,"

On-site pour decanted into their branded wine glass. Dregs into a taster glass on the side.

Golden straw color, fairly hazy, but not near opaque. Light flows through and brightens the brew. Barely off white head, foamy, settles to ring around the glass.

Honey, white wine grapes, floral, slight yeast and funk. Lots of layers in the aroma. Citrus zest in the background.

Delicious, the honey is subtle and floral, delicate funk, some earthy and grassy notes. Tartness is present but doesn't overpower or block anything else.

Soft carbonation, smooth, moderate mouth-feel.

All around excellent brew. What farmhouse/saison brewers should aspire to acheive.

 "," On-site pour decanted branded wine glass . Dregs taster glass side . Golden straw color , fairly hazy , near opaque . Light flows brightens brew . Barely white head , foamy , settles ring around glass . Honey , white wine grapes , floral , slight yeast funk . Lots layers aroma . Citrus zest background . Delicious , honey subtle floral , delicate funk , earthy grassy notes . Tartness present n't overpower block anything else . Soft carbonation , smooth , moderate mouth-feel . around excellent brew . farmhouse/saison brewers aspire acheive .",0.8443730317709264
98,Wide Awake It's Morning,4.58,"

Pours dark brown with ruby highlights at 56 degrees; thick tan foam of mixed bubbles; solid ring, long lasting cap; moderately heavy lacing; thin legs. Strong maple syrup nose; faint whiff of smoke. Flavors of maple, coffee, sweet toffee and caramel candy base; lite roast, char. Full body, slick feel; very little warmth for 9.5%; moderate minus carbonation. Overall the maple has held up well; I could smell the maple wafting from the glass at least a foot plus away; not too adjuncty; the bacon is more a liquid smoke taste, but the dominant taste and aroma is Mrs. Butterworth’s. Funky Buddha excels at flavored pastry stouts, and this beer is one of its best.

 "," Pours dark brown ruby highlights 56 degrees ; thick tan foam mixed bubbles ; solid ring , long lasting cap ; moderately heavy lacing ; thin legs . Strong maple syrup nose ; faint whiff smoke . Flavors maple , coffee , sweet toffee caramel candy base ; lite roast , char . Full body , slick feel ; little warmth 9.5 % ; moderate minus carbonation . Overall maple held well ; could smell maple wafting glass least foot plus away ; adjuncty ; bacon liquid smoke taste , dominant taste aroma Mrs. Butterworth ’ . Funky Buddha excels flavored pastry stouts , beer one best .",0.8442713805169635
99,Mexican Brunch,4.42,"

09/2017 - The nose is out of control - cinnamon, coffee, cardamom for days; amazing flavors akin to the nose with some spice; solid mouthfeel for an imperial porter; lactose, roast goes on and on!

 "," 09/2017 - nose control - cinnamon , coffee , cardamom days ; amazing flavors akin nose spice ; solid mouthfeel imperial porter ; lactose , roast goes !",0.8439690900369285
100,Bourbon Barrel Aged Dark Star: Coffee Edition,4.51,"

Poured from fridge temp. Pours black and night, with very little dark head. The coffee is dominant on the nose. Chocolate, maple, vanilla, fudge, roasted malts. Taste is super intense. Lots of roasted malts, burnt wood, coffee grounds, vanilla, and chocolate. A nice bourbon backbone is throughout. The alcohol is definitely prominent - a slight bourbon aftertaste. Mouthfeel is actually a bit thin - not as creamy as expected. Overall, amazing.

 "," Poured fridge temp . Pours black night , little dark head . coffee dominant nose . Chocolate , maple , vanilla , fudge , roasted malts . Taste super intense . Lots roasted malts , burnt wood , coffee grounds , vanilla , chocolate . nice bourbon backbone throughout . alcohol definitely prominent - slight bourbon aftertaste . Mouthfeel actually bit thin - creamy expected . Overall , amazing .",0.8439016121108632
101,Trappistes Rochefort 10,4.47,"

From notes 12/29/11: Pours a dark, cloudy reddish brown. The pour produces a single finger of beige, dense, short-lived head which leaves minimal lacing as it recedes. Aroma is vinous with notes of red grape, dark fruits, bubblegum, brown sugar, alcohol and very mild floral hops. Taste is very complex: dark malt and sugar, clove, banana, figs raisins, dark cherries, honey, molasses and faint chocolate; pepper and alcohol in the finish; alcohol intensifies in the aftertaste. With that let me say that the alcohol is superbly well hidden for an 11.3% ABV beer. Mouthfeel is medium to full bodied, moderate carbonation, creamy and a delight to the mouth. A pure delight.

 "," notes 12/29/11 : Pours dark , cloudy reddish brown . pour produces single finger beige , dense , short-lived head leaves minimal lacing recedes . Aroma vinous notes red grape , dark fruits , bubblegum , brown sugar , alcohol mild floral hops . Taste complex : dark malt sugar , clove , banana , figs raisins , dark cherries , honey , molasses faint chocolate ; pepper alcohol finish ; alcohol intensifies aftertaste . let say alcohol superbly well hidden 11.3 % ABV beer . Mouthfeel medium full bodied , moderate carbonation , creamy delight mouth . pure delight .",0.8438924649825057
